,instance,solver_config,abs_improvement
2084,move.sh,jdrasil-b125-n1,0
6230,1a8i.edge,jdrasil-b150-n1,4
2381,1cb6.edge,jdrasil-b125-n1,3
2322,1gsk.edge,jdrasil-b125-n1,0
2340,1kmo.edge,jdrasil-b125-n1,0
31025,1nr0.edge,tcs-b150-n1,14
30976,1vom.edge,tcs-b150-n1,7
14485,1xwl.edge,tcs-b125-n1,7
2417,2bitadd_11.cnf.edge,jdrasil-b125-n1,0
2436,BN_69.edge,jdrasil-b125-n1,2
2356,BN_74.edge,jdrasil-b125-n1,0
2392,Promedas_41.edge,jdrasil-b125-n1,6
2287,Promedas_42.edge,jdrasil-b125-n1,12
12374,Promedas_43.edge,jdrasil-b75t1800-n1,3
2365,Promedas_44.edge,jdrasil-b125-n1,0
2459,Promedas_45.edge,jdrasil-b125-n1,8
10323,Promedas_46.edge,tcs-b100-n1,1
14361,Promedas_47.edge,tcs-b125-n1,1
2296,Promedas_48.edge,jdrasil-b125-n1,11
6288,Promedas_49.edge,jdrasil-b150-n1,6
6316,Promedas_50.edge,jdrasil-b150-n1,5
28741,Promedas_51.edge,jdrasil-b100-n1,5
2372,Promedas_52.edge,jdrasil-b125-n1,0
2324,Promedas_53.edge,jdrasil-b125-n1,0
12342,Promedas_55.edge,jdrasil-b75t1800-n1,8
10230,Promedas_56.edge,tcs-b100-n1,8
29854,Promedas_57.edge,tcs-b75-n1,8
2379,Promedas_59.edge,jdrasil-b125-n1,7
10152,Promedas_61.edge,tcs-b100-n1,5
2307,Promedas_62.edge,jdrasil-b125-n1,6
12395,Promedas_63.edge,jdrasil-b75t1800-n1,6
10170,Promedas_64.edge,tcs-b100-n1,6
7537,Promedas_65.edge,jdrasil-b50-n1,3
2351,Promedas_66.edge,jdrasil-b125-n1,5
2316,Promedas_67.edge,jdrasil-b125-n1,0
22404,Promedas_69.edge,jdrasil-b75-n1,7
14333,Promedas_70.edge,tcs-b125-n1,3
2416,Promedas_71.edge,jdrasil-b125-n1,1
14479,Promedus_12.edge,tcs-b125-n1,3
2390,Promedus_13.edge,jdrasil-b125-n1,1
2425,Promedus_16.edge,jdrasil-b125-n1,2
6268,Promedus_17.edge,jdrasil-b150-n1,1
29734,Promedus_19.edge,tcs-b75-n1,3
2342,Promedus_20.edge,jdrasil-b125-n1,3
22510,Promedus_23.edge,jdrasil-b75-n1,4
2326,Promedus_26.edge,jdrasil-b125-n1,0
2364,Promedus_32.edge,jdrasil-b125-n1,0
6295,Promedus_38.edge,jdrasil-b150-n1,7
2318,blockmap_05_01-0000.edge,jdrasil-b125-n1,0
2374,blockmap_05_01-0001.edge,jdrasil-b125-n1,0
2446,blockmap_05_01-0002.edge,jdrasil-b125-n1,0
2453,blockmap_05_01-0003.edge,jdrasil-b125-n1,0
2407,blockmap_05_01-0004.edge,jdrasil-b125-n1,0
2345,blockmap_05_01-0005.edge,jdrasil-b125-n1,0
2349,blockmap_05_01-0006.edge,jdrasil-b125-n1,0
2415,blockmap_05_01-0007.edge,jdrasil-b125-n1,0
2450,blockmap_05_01-0008.edge,jdrasil-b125-n1,0
2386,blockmap_05_01-0009.edge,jdrasil-b125-n1,0
2426,blockmap_05_01-0010.edge,jdrasil-b125-n1,0
2422,blockmap_05_01-0011.edge,jdrasil-b125-n1,0
2317,blockmap_05_01-0012.edge,jdrasil-b125-n1,0
2367,blockmap_05_01-0013.edge,jdrasil-b125-n1,0
2393,blockmap_05_01-0014.edge,jdrasil-b125-n1,0
2412,blockmap_05_01-0015.edge,jdrasil-b125-n1,0
2400,blockmap_05_02-0000.edge,jdrasil-b125-n1,1
2457,blockmap_05_02-0001.edge,jdrasil-b125-n1,1
2306,blockmap_05_02-0002.edge,jdrasil-b125-n1,1
2301,blockmap_05_02-0003.edge,jdrasil-b125-n1,1
2391,blockmap_05_02-0004.edge,jdrasil-b125-n1,1
2394,blockmap_05_02-0005.edge,jdrasil-b125-n1,1
2329,blockmap_05_02-0006.edge,jdrasil-b125-n1,1
2292,blockmap_05_02-0007.edge,jdrasil-b125-n1,1
2341,blockmap_05_02-0008.edge,jdrasil-b125-n1,1
2410,blockmap_05_02-0009.edge,jdrasil-b125-n1,1
2314,blockmap_05_02-0010.edge,jdrasil-b125-n1,1
2443,blockmap_05_02-0011.edge,jdrasil-b125-n1,1
2419,blockmap_05_02-0012.edge,jdrasil-b125-n1,1
2411,blockmap_05_02-0013.edge,jdrasil-b125-n1,1
2332,blockmap_05_02-0014.edge,jdrasil-b125-n1,1
2420,blockmap_05_02-0015.edge,jdrasil-b125-n1,1
2369,c1908.isc.cnf.edge,jdrasil-b125-n1,3
2350,linkage_19.edge,jdrasil-b125-n1,2
2299,linkage_22.edge,jdrasil-b125-n1,3
2337,linkage_27.edge,jdrasil-b125-n1,3
2343,log-1.cnf.edge,jdrasil-b125-n1,2
2312,logistics.a.cnf.edge,jdrasil-b125-n1,0
2458,logistics.b.cnf.edge,jdrasil-b125-n1,0
2405,or_chain_1.fg.edge,jdrasil-b125-n1,0
2432,or_chain_102.fg.edge,jdrasil-b125-n1,0
2463,or_chain_103.fg.edge,jdrasil-b125-n1,2
12444,or_chain_104.fg.edge,jdrasil-b75t1800-n1,8
2370,or_chain_106.fg.edge,jdrasil-b125-n1,0
12355,or_chain_107.fg.edge,jdrasil-b75t1800-n1,5
2358,or_chain_11.fg.edge,jdrasil-b125-n1,12
22423,or_chain_114.fg.edge,jdrasil-b75-n1,6
10244,or_chain_118.fg.edge,tcs-b100-n1,10
2348,or_chain_123.fg.edge,jdrasil-b125-n1,9
2357,or_chain_125.fg.edge,jdrasil-b125-n1,11
2406,or_chain_126.fg.edge,jdrasil-b125-n1,0
2387,or_chain_128.fg.edge,jdrasil-b125-n1,0
2427,or_chain_13.fg.edge,jdrasil-b125-n1,0
10163,or_chain_131.fg.edge,tcs-b100-n1,4
2325,or_chain_132.fg.edge,jdrasil-b125-n1,2
6198,or_chain_136.fg.edge,jdrasil-b150-n1,8
12456,or_chain_138.fg.edge,jdrasil-b75t1800-n1,3
2344,or_chain_139.fg.edge,jdrasil-b125-n1,0
12334,or_chain_141.fg.edge,jdrasil-b75t1800-n1,6
6261,or_chain_142.fg.edge,jdrasil-b150-n1,5
2309,or_chain_143.fg.edge,jdrasil-b125-n1,9
2418,or_chain_149.fg.edge,jdrasil-b125-n1,0
2382,or_chain_15.fg.edge,jdrasil-b125-n1,6
12367,or_chain_150.fg.edge,jdrasil-b75t1800-n1,3
7525,or_chain_153.fg.edge,jdrasil-b50-n1,1
2336,or_chain_155.fg.edge,jdrasil-b125-n1,5
2347,or_chain_156.fg.edge,jdrasil-b125-n1,9
2368,or_chain_158.fg.edge,jdrasil-b125-n1,0
2396,or_chain_161.fg.edge,jdrasil-b125-n1,7
14329,or_chain_17.fg.edge,tcs-b125-n1,3
2375,or_chain_172.fg.edge,jdrasil-b125-n1,8
2461,or_chain_176.fg.edge,jdrasil-b125-n1,0
2311,or_chain_18.fg.edge,jdrasil-b125-n1,1
10298,or_chain_181.fg.edge,tcs-b100-n1,9
10256,or_chain_189.fg.edge,tcs-b100-n1,7
2447,or_chain_19.fg.edge,jdrasil-b125-n1,11
6158,or_chain_191.fg.edge,jdrasil-b150-n1,5
10229,or_chain_193.fg.edge,tcs-b100-n1,3
2331,or_chain_198.fg.edge,jdrasil-b125-n1,6
10248,or_chain_199.fg.edge,tcs-b100-n1,1
2373,or_chain_204.fg.edge,jdrasil-b125-n1,0
2421,or_chain_206.fg.edge,jdrasil-b125-n1,0
14370,or_chain_208.fg.edge,tcs-b125-n1,1
12335,or_chain_209.fg.edge,jdrasil-b75t1800-n1,5
2320,or_chain_211.fg.edge,jdrasil-b125-n1,5
12359,or_chain_212.fg.edge,jdrasil-b75t1800-n1,8
2305,or_chain_213.fg.edge,jdrasil-b125-n1,7
22424,or_chain_220.fg.edge,jdrasil-b75-n1,7
6191,or_chain_222.fg.edge,jdrasil-b150-n1,10
12434,or_chain_223.fg.edge,jdrasil-b75t1800-n1,10
2403,or_chain_226.fg.edge,jdrasil-b125-n1,0
2434,or_chain_237.fg.edge,jdrasil-b125-n1,0
2360,or_chain_242.fg.edge,jdrasil-b125-n1,1
12381,or_chain_243.fg.edge,jdrasil-b75t1800-n1,7
2444,or_chain_246.fg.edge,jdrasil-b125-n1,0
6247,or_chain_247.fg.edge,jdrasil-b150-n1,7
13395,or_chain_248.fg.edge,tcs-b50-n1,2
10257,or_chain_249.fg.edge,tcs-b100-n1,5
22531,or_chain_28.fg.edge,jdrasil-b75-n1,7
2398,or_chain_29.fg.edge,jdrasil-b125-n1,5
12309,or_chain_33.fg.edge,jdrasil-b75t1800-n1,7
12419,or_chain_34.fg.edge,jdrasil-b75t1800-n1,1
2290,or_chain_36.fg.edge,jdrasil-b125-n1,6
12287,or_chain_4.fg.edge,jdrasil-b75t1800-n1,3
2319,or_chain_40.fg.edge,jdrasil-b125-n1,0
2435,or_chain_45.fg.edge,jdrasil-b125-n1,2
7673,or_chain_48.fg.edge,jdrasil-b50-n1,3
10154,or_chain_50.fg.edge,tcs-b100-n1,5
29859,or_chain_53.fg.edge,tcs-b75-n1,5
2328,or_chain_62.fg.edge,jdrasil-b125-n1,1
29726,or_chain_63.fg.edge,tcs-b75-n1,8
12405,or_chain_66.fg.edge,jdrasil-b75t1800-n1,7
29714,or_chain_68.fg.edge,tcs-b75-n1,3
2440,or_chain_69.fg.edge,jdrasil-b125-n1,0
